,Mean Coeff,Ïƒ Coeff
lh_G_parietal_sup,-0.5419484100482296,0.31425768687460376
lh_G_front_middle,-0.39541262350192563,0.2427315316799789
lh_G_temp_sup-G_T_transv,0.3620758218128499,0.20169835407023867
rh_G_front_inf-Opercular,-0.2589928190419437,0.1962813893885652
rh_S_central,0.25053434890431964,0.26191462638126417
rh_S_parieto_occipital,0.21389333483243045,0.22781550354330865
lh_Pole_occipital,0.2097085669699198,0.15287070516090784
rh_G_and_S_transv_frontopol,-0.20359442912189785,0.2124981549926471
lh_S_circular_insula_ant,0.19468430956055743,0.23010020615188057
rh_Lat_Fis-ant-Vertical,-0.19092766687413112,0.17535753092603762
lh_G_oc-temp_med-Lingual,0.1875407239047521,0.18066370535513376
rh_G_cuneus,0.18036414800538428,0.15188104622611467
lh_S_central,0.17952083420216453,0.1863939176439702
rh_G_and_S_cingul-Mid-Post,0.17794985063158023,0.21019030335140626
rh_G_temp_sup-Lateral,-0.17138814601527563,0.12455222494462796
lh_S_cingul-Marginalis,-0.1667457125375944,0.1333760212280724
rh_S_temporal_transverse,0.16305844513948153,0.11928407438194052
rh_G_and_S_cingul-Ant,-0.1630469639958938,0.15346415836618063
rh_G_subcallosal,-0.15495588143411043,0.1919563769343645
rh_G_pariet_inf-Supramar,-0.15388077381950419,0.1596223841224494
